0,xxx,Churchill,Cooperstock,DellaRocca,DiCiccio,Goodrum,Gromala,Gutwin,Harrison,Jenson,Jeremijenko,Karam,Kurtenbach,Middleton,Poulin,Szafron,Trosow,Woodbury,Wyvill
Antle,0,0,0,0,0,0,-101,0,0,-210,0,0,0,0,0,0,0,-1311,0
Baecker,0,0,0,0,0,0,-710,0,0,0,0,0,0,0,0,0,0,0,0
Balakrishnan,0,0,-20,0,0,-10,-10,-20,0,0,0,0,0,0,-10,0,0,0,-10
Bartram,0,0,0,0,0,0,-211,0,0,0,0,0,0,0,0,0,0,-2521,0
Beznosov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0
Biddle,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,-10,0,0
Booth,0,0,-20,0,0,-20,-100,-10,0,0,0,0,0,-10,0,0,0,0,0
Brooks,0,0,-10,0,0,-10,0,-10,0,0,0,0,0,0,-10,0,0,0,-10
Burkell,0,0,-10,0,0,-10,0,0,0,0,0,0,0,0,0,-100,-1021,0,0
Carpendale,0,0,-10,0,0,0,-10,-10,0,0,0,0,0,0,-10,0,0,0,-10
Clarke,0,0,0,0,-101,-110,0,0,0,0,0,0,0,0,0,-100,-10,-10,0
Conati,0,0,0,0,0,0,-100,-10,0,-10,0,0,0,0,0,-10,0,0,0
Cooperstock,0,0,-1000,0,0,-20,0,-20,0,0,0,0,0,-10,0,0,0,0,0
Crow,0,0,0,0,0,0,-10,0,0,-11,0,0,0,-10,0,-10,-10,0,0
Eagleson,0,0,-10,0,-100,0,-10,0,0,0,0,0,0,0,-10,0,-1,0,-10
Fedorova,0,0,-10,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0
FelsD,0,0,0,0,0,0,-10,0,0,0,0,0,0,-11,0,0,-10,0,0
FelsS,0,0,-120,0,0,-10,-100,-20,0,0,0,0,0,0,0,-100,0,-10,0
Fiume,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-10,0,0,0,-10
