,Jeremy.Cooperstock,Jason.DellaRocca,Vic.diCiccio,Abby.Goodrum,Sean.Gouglas,Diane.Gromala,Carl.Gutwin,Beverly.Harrison,Jennifer.Jenson,Gerald.Karam,Gord.Kurtenbach,Regan.Mandryk,Catherine.Middleton,Pierre.Poulin,Bart.Simon,Samuel.Trosow,Brian.Wyvill,Robert.Woodbury,Peter.Pirolli,
Alexandra.Fedorova,-100,0.0,-100,0.0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,
Alissa.Antle,-100,0.0,-100,0.0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,
Alla.Sheffer,0.0,-100,-100,-100,0.0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,
Anatoliy.Gruzd,-100,-100,-100,-100,0.0,0.0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,
Barry.Wellman,-100,-100,-100,-100,-100,0.0,0.0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,
Brian.Greenspan,0.0,-100,-100,-100,-100,-100,0.0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,
Charles.Clarke,-100,-100,-100,-100,-100,-100,-100,0.0,-100,0.0,-100,-100,-100,-100,-100,-100,-100,-100,-100,
Chris.Shaw,-100,-100,-100,-100,-100,-100,-100,0.0,0.0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,
Cristina.Conati,-100,-100,-100,-100,-100,-100,-100,-100,-100,0.0,-100,-100,100.0,-100,-100,-100,-100,-100,-100,
David.Mould,-100,-100,100.0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0.0,-100,-100,-100,
Deborah.Fels,-100,-100,-100,-100,-100,-100,-100,-100,0.0,-100,-100,0.0,-100,-100,-100,-100,-100,-100,-100,
Duane.Szafron,-100,-100,200.0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0.0,-100,-100,-100,-100,-100,
Edward.Lank,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0.0,-100,-100,0.0,-100,-100,-100,-100,
Eleni.Stroulia,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,100.0,-100,-100,-100,-100,0.0,-100,-100,-100,
Eugene.Fiume,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0.0,-100,0.0,
Faramarz.Samavati,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0.0,-100,-100,-100,0.0,
