Jeremy.Cooperstock,Jason.DellaRocca,Vic.diCiccio,Abby.Goodrum,Sean.Gouglas,Diane.Gromala,Carl.Gutwin,Beverly.Harrison,Jennifer.Jenson,Gerald.Karam,Gord.Kurtenbach,Regan.Mandryk,Catherine.Middleton,Pierre.Poulin,Bart.Simon,Samuel.Trosow,Brian.Wyvill,Robert.Woodbury,Peter.Pirolli,
Alexandra.Fedorova,-2000.0,0.0,0.0,0.0,0.0,-2000.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0,-2000.0,0.0,
Alissa.Antle,-2000.0,0.0,0.0,0.0,-2000.0,-2000.0,0.0,0.0,-2000.0,0.0,0.0,-2000.0,0.0,0.0,-2000.0,0.0,-2000.0,0.0,0.0,
Alla.Sheffer,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,-2000.0,0.0,
Anatoliy.Gruzd,-2000.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-2000.0,0.0,0.0,-2000.0,0.0,0.0,0.0,
Barry.Wellman,-2000.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-2000.0,-2000.0,0.0,-2000.0,-2000.0,0.0,0.0,0.0,
Brian.Greenspan,0.0,0.0,100.0,0.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,
Charles.Clarke,0.0,0.0,-2000.0,-2000.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,-2000.0,0.0,0.0,-2000.0,-2000.0,-2000.0,0.0,0.0,
Chris.Shaw,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,
Cristina.Conati,-2000.0,0.0,0.0,0.0,-2000.0,-2000.0,-2000.0,0.0,-2000.0,0.0,0.0,-2000.0,100.0,0.0,-2000.0,0.0,0.0,0.0,0.0,
David.Mould,-2000.0,0.0,100.0,0.0,-2000.0,0.0,-2000.0,0.0,-2000.0,0.0,0.0,-2000.0,0.0,-2000.0,-2000.0,0.0,0.0,-2000.0,0.0,
Deborah.Fels,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,-2000.0,0.0,0.0,0.0,
Duane.Szafron,0.0,0.0,200.0,-2000.0,-2000.0,0.0,0.0,0.0,-2000.0,0.0,0.0,-2000.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,
Edward.Lank,-2000.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,0.0,-2000.0,-2000.0,0.0,0.0,0.0,-2000.0,0.0,
Eleni.Stroulia,-2000.0,0.0,0.0,-2000.0,-2000.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,-2000.0,0.0,0.0,0.0,0.0,
Eugene.Fiume,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,-2000.0,0.0,-2000.0,-2000.0,0.0,-2000.0,-2000.0,0.0,0.0,-2000.0,0.0,
Faramarz.Samavati,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,-2000.0,0.0,
Geoffrey.Rockwell,-2000.0,-2000.0,100.0,0.0,-2000.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,100.0,0.0,-2000.0,-2000.0,0.0,0.0,0.0,
Gerald.Penn,0.0,0.0,0.0,-2000.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,
Jacquelyn.Burkell,-2000.0,0.0,0.0,-2000.0,-2000.0,0.0,0.0,0.0,-2000.0,0.0,0.0,-2000.0,100.0,0.0,-2000.0,-2000.0,0.0,0.0,0.0,
Joanna.McGrenere,0.0,0.0,0.0,-2000.0,0.0,-2000.0,0.0,0.0,-2000.0,0.0,0.0,-2000.0,0.0,0.0,-2000.0,0.0,-2000.0,0.0,0.0,
Jonathan.Schaeffer,0.0,-2000.0,100.0,0.0,-2000.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,
Karan.Singh,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,-2000.0,0.0,
Karon.MacLean,-2000.0,0.0,0.0,0.0,-2000.0,-2000.0,-2000.0,0.0,-2000.0,0.0,0.0,-2000.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kellogg.Booth,-2000.0,0.0,-2000.0,-2000.0,-2000.0,-2000.0,-2000.0,0.0,0.0,0.0,100.0,-2000.0,-2000.0,0.0,0.0,0.0,-2000.0,0.0,0.0,
Kevin.Stanley,-2000.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Luanne.Freund,-2000.0,0.0,-2000.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-2000.0,0.0,0.0,-2000.0,0.0,0.0,0.0,
Lyn.Bartram,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,
Lynn.Hughes,-2000.0,-2000.0,0.0,-2000.0,-2000.0,0.0,0.0,0.0,-2000.0,0.0,0.0,-2000.0,-2000.0,0.0,-2000.0,-2000.0,0.0,0.0,0.0,
Maria.Lantin,-2000.0,0.0,0.0,0.0,0.0,-2000.0,-2000.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,
Martha.Ladly,-2000.0,0.0,0.0,-2000.0,0.0,-2000.0,-2000.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,
Melanie.Tory,-2000.0,0.0,0.0,0.0,0.0,-2000.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0,-2000.0,0.0,
Michael.Terry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,-2000.0,0.0,0.0,
Michiel.Van.De.Panne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,-2000.0,0.0,
Nicholas.Graham,-2000.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Paul.Kry,-2000.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,-2000.0,0.0,
